date,content,subject,summary
"Fri,  2 Sep 2022 15:45:08 +0000","Découvrez nos kits recettes exclusifs ! 

À VOS MARQUES, PRÊTS, MANGEZ ! 🥢

À l’occasion du Singapour Food Festival, du 1er au 11 septembre, Frichti et Singapour Tourisme s’associent pour vous faire découvrir 5 kits de recettes singapouriennes ! 🔥

Vous êtes plutôt :

Classique ? On vous conseille le Singapore Fried Hokkien Noodles assurément addictif avec ses deux sortes de nouilles et son mélange terre mer. Vous pouvez aussi craquer pour le Chicken Rice avec son riz cuit dans un bouillon parfumé, son poulet juteux et sa sauce enivrante ! 🤩

Veggie ? Le Veggie Nasi Goreng saura vous séduire en associant un riz frit parfumé au gingembre et un oeuf au plat ! 😍

Authentique ? Testez donc la Laksa soup aux crevettes, une délicieuse soupe ultraaa savoureuse au lait de coco, citronnelle et nouilles de riz ou le Kaya Muffin qui renferme la pâte à tartiner star de Singapour à base de lait de coco et de pandan ! 😏

La cerise sur le gâteau ? Frichti vous fait gagner 2 billets d’avion pour Singapour* : on a glissé dans l’un des kits recettes exclusifs un ticket d’or ! Il vous suffit d'acheter l'un de ces kits pour tenter de le remporter ! 🎟
",On vous emmène au SINGAPOUR FOOD FESTIVAL 🤤?,"Une newsletter de Frichti concernant leur collaboration avec le Singapour Food Festival. L'offre inclut cinq différents kits de recettes, avec une variété de plats singapouriens, ainsi qu'une"
"Mon, 28 Nov 2022 08:03:25 +0000","

🎄 Préparez Noël avec Frichti 🎄

Noël approche à grands pas et Frichti aussi s’est mis dans le mood !
On vous a concocté près de 40 nouveaux plats de saison*, variés et avec des produits d’exception (bah oui c’est Noël quand même ✨)

Des exemples ? On en a à la pelle !

Craquez en entrée pour le divin saumon gravlax et ses baies roses : parfait pour commencer le repas en douceur ! Le saumon gravlax vient d'Écosse et il assaisonné de baies roses pour une alchimie parfaite en bouche ! De quoi égayer vos papilles !  💖

Et ensuite ? Testez (ENFIN) les tagliatelles à la crème de truffe Frichti pour un dej’ 5 étoiles assuré ! Sinon on a aussi le magret de canard, écrasé de pomme de terre et confit d'oignons, un plat festif et généreux à la fois ! 🔥
",🎅 Découvrez nos nouveautés de Noël !?,"Une newsletter de Frichti concernant les nouveautés en matière de plats de saison pour Noël. Plus de 40 nouveaux plats, avec des produits d'exception, sont disponibles, y compris"
"Fri,  9 Sep 2022 16:09:38 +0000","90 bougies pour Ricard 🥳 

Un petit jaune sinon rien ! ☀️

Sa robe jaune emblématique, son goût anisé aux arômes de réglisse… Quoi ? Vous entendez déjà les cigales chanter ? Trève de blabla alors, on voulait juste vous dire que ça fait pile poil 90 ans que votre pastis pref existe !
Et pour fêter son anniversaire, on vous fait un cadeau !

Craquez sur une bouteille Ricard Édition Limitée 90ans pour tenter de gagner l’un des 10 lots composés chacun d’1 carafe et d'1 set de 6 verres Ricard*. Elle est pas belle la vie ? 😇
",Le pastis le + iconic en édition limitée !?,"Une newsletter de Frichti concernant l'anniversaire du pastis Ricard. Pour l'occasion, ils mettent en jeu 10 bouteilles en édition limitée ainsi qu'une carafe et un set de 6 verres"
"Wed,  8 Jun 2022 16:34:32 +0000","

Remettez un peu de crème dans votre vie

Découvrez le stand crèmerie de notre marché Frichti !
Des produits tellement direct producteur qu’on entend une vache meugler en les ouvrant.

Venus tout droit de chez Pascal Beillevaire, producteur-fromager-crémier de Loire-Atlantique, on vous a déniché les meilleures pépites direct producteur au meilleur prix : quand c'est direct, c'est moins cher !

Faites de la place dans votre frigo, crèmerie is coming !
En ce moment, profitez de 20€ offerts sur votre 1ère commande avec le code* :
RENCONTRE20
","La crèmerie du marché Frichti, c'est par ici 🐮🥛?",Une newsletter de Frichti concernant leur crèmerie. Les produits proviennent directement du producteur et sont donc moins chers. Les lecteurs peuvent profiter de 20€ de réduction sur leur première
"Wed,  8 Jun 2022 16:14:45 +0000","

Remettez un peu de crème dans votre vie

Découvrez le stand crèmerie de notre marché Frichti !
Des produits tellement direct producteur qu’on entend une vache meugler en les ouvrant.

Venus tout droit de chez Pascal Beillevaire, producteur-fromager-crémier de Loire-Atlantique, on vous a déniché les meilleures pépites direct producteur au meilleur prix : quand c'est direct, c'est moins cher !

Faites de la place dans votre frigo, crèmerie is coming !
En ce moment, profitez de 10€ offerts sur la crèmerie dès 40€ d'achat avec le code* :
","La crèmerie du marché Frichti, c'est par ici 🐮🥛?","Une newsletter de Frichti concernant sa crèmerie. Les produits viennent directement du producteur et sont donc moins chers. En ce moment, il y a une promotion de 10€ sur l'achat de 40€ de produits"
"Thu, 15 Jul 2021 14:29:20 +0000","Et bénéficier de vos 50€ offerts 🔥

N'oubliez pas d'activer votre Frichti Pass, c'est gratuit & sans engagement

Il vous reste 15 jours pour activer votre pass et bénéficier de 50€ offerts.

Pour l'activer, passez tout simplement une commande avec votre compte et ajoutez le code*
PASS-LX29 :  5 x 10€ offerts
dès 30€ d’achats sur vos 5 prochaines commandes Frichti Market !

Ne tardez pas à l'activer avant qu'il ne soit trop tard !
",Il vous reste 15 jours pour activer votre Frichti Pass !?,"Une newsletter de Frichti concernant l'activation du Pass, avec un code promotionnel à utiliser."
"Mon, 19 Dec 2022 07:41:06 +0000","

Vos produits de Noël en promo ! 🎄

Allez, plus que 5 jours à tenir avant le grand banquet de Noël ! Et, pour ceux qui n’ont pas encore fait leurs emplettes, on a une solution toute trouvée : profitez viiiite de nos dernières Ventes Privées*. 💥

Une affaire en or à ne rater sous aucun prétexte : Frichti vous offre du caviar Beluga d'exception, le plus rare et le plus onctueux de tous les caviars, à seulement 25,20€ au lieu de 46,99€ ! ✨

Et parce que Noël, ce n'est qu'une fois dans l'année, on vous régale avec notre champagne Horiot, et l'incontournable Cuvée spéciale Jean-Baptiste, pour seulement 14,40€ au lieu de 29€ ! Vous allez l’adorer. 😍

Pour en profiter :

-20% supplémentaires sur les Ventes Privées de Caviar et de Champagne d'exception avec le code COMBOGAGNANT",⏰ ALERTE BON PLAN DE L'ANNÉE ⏰?,"Une newsletter de Frichti concernant les dernières Ventes Privées* avec comme principal produit du caviar Beluga à 25,20€ au lieu de 46,99€ et du champagne Horiot à 14,40€ au lieu de 29"
"Sun, 19 Dec 2021 09:54:37 +0000","Avec le code FESTIN, 15% offerts pour votre brunch de roi 👑

Une grasse mat’ et un brunch à prix canon !

On est enfin dimanche matin, il est 11h00, vous venez tout juste de vous réveiller. Vous êtes à la croisée des chemins, entre petit déj et déj. On vous propose d’emprunter un raccourci, celui d’un brunch gourmand !
Des avocats 🥑, du bacon croustillant 🥓, des pancakes moelleux 🥞, quelques fruits 🥝, Frichti s’occupe de tout. Commandez en 1 seul clic et recevez le panier brunch de votre choix en promo*.

Envie d'un brunch de fêtes ? Retrouvez vite nos produits d'exception à prix coûtant ! Caviar sur vos œufs brouillés, Champagne pour les mimosas, panier truffé et pleins d'autres vous attendent à prix canon ! Attention, quantités limitées ⏳
Psssssssss : profitez encore plus de votre brunch avec 15% OFFERTS sur votre panier à partir de 50€ d’achat avec le code",C’est l’heure du brunch ! 🥐🥞🥑🍳?,"Une newsletter de Frichti concernant son service de brunch, avec un code promo de 15% à utiliser sur un panier d'au moins 50€. Les produits d'exception sont en promotion à prix canon et il y a unequantité"
"Mon, 17 Oct 2022 07:13:33 +0000","

Le meilleur de Neko Ramen est disponible sur Frichti ! 🍜

Chez Frichti, on vous déniche toujours les MEILLEURS partenariats et bons plans !

Découvrez 5 nouveautés signées Neko Ramen, l’un des meilleurs restaurants de ramen de Paris ! C’est une adresse incontournable si vous êtes fan de ramen, de curry, de gyozas, et de spécialités japonaises…

En entrée, 2 gyoza, 2 team : un trio généreux au visuel floral au bon goût de tofu, ou alors un quatuor de gyozas au porc bio origine France adaptant une forme classique 🥟

En plat, il y en a pour tous les goûts : un curry au poulet bio Bleu Blanc Coeur, un curry au porc tendre à l'intérieur et croustillant à l'extérieur, et un curry veggie aux oeuf tamago super fondants ! 🍛

Les trois currys sont ultra parfumés et accompagnés d’une portion de riz venant tout droit du Japon.
",Dîtes Konnichiwa aux nouveaux plats Neko Ramen sur Frichti 🍛🇯🇵?,"Une newsletter de Frichti concernant une nouvelle collab avec Neko Ramen, un restaurant de ramen japonais à Paris. Cinq nouveaux plats sont proposés, avec des options pour les carnivores, les"
"Tue, 23 Nov 2021 16:54:36 +0000","Des promos givrées pendant 4 semaines, ça se fête

Des promos givrées pour un Noël de folie

Le père Noël commence son service le 24 décembre seulement,
alors on a décidé de vous couvrir de cadeaux et promos dès maintenant !
Ventes privées d'exception à prix coûtant et plus de 50 promos de folie...
Frichti met les petits plats dans les grands pour un mois de Noël vraiment magique !

Et parce qu’on adore cette période de fêtes, nos équipes de lutins ont goûté et sélectionné 130 nouveaux produits pour vous proposer uniquement le meilleur à prix mini.

PS : Le père Frichti a investi dans un traineau super turbo pour vous livrer vos courses de Noël en 15 minutes seulement.
",🎅🏼 OH OH OH ! Les promos du père Frichti sont arrivées ✨ 🎁 💰?,"Une newsletter de Frichti concernant les promos du mois de décembre, avec des nouveaux produits à prix mini."
"Thu, 30 Dec 2021 18:15:12 +0000","Des produits exceptionnels à petit prix 🤑 🎉

La fête n’est toujours pas finie !

Les restes de chapon sont tout juste terminés, les papiers cadeaux déchirés, jetés. Il est temps d’enchaîner avec la soirée de l’année :
LE NOUVEL AN 2022 !

Alors on vous a préparé toute une sélection de produits festifs à prix mini pour clore 2021 ! Proposez vos meilleurs cocktails pour l’apéro, sortez vos plus belles bouteilles de vin pour le dîner et sabrez votre champagne au rythme du décompte. Que vous soyez en famille ou entre amis, Frichti est VOTRE partenaire de réveillon, toujours à 15 min de chez vous.
Et pour finir l’année en beauté,
20€ offerts sur votre première commande avec le code*:
RENCONTRE20
JE PROFITE DE MES 20€ OFFERTS 

Burrata à la truffe - 125g
Gioiella

Billes de chèvre fourrées figue - 90g
🇫🇷 Fromacoeur

Cuvée Jean Baptiste Champagne brut - 75cl
🇫🇷 Horiot

16 blinis cocktail - 135g
🇫🇷 Blini

Tarama à la truffe - 90g
🇫🇷 Byzance

Schweppes Agrumes - 1,5L
Schweppes

Chips de Madrid à la truffe - 135g
Superbon

Plateau de fromages d'hiver - 600g
🇫🇷 Beillevaire

Rhum blanc Carta Blanca - 70cl
Bacardi

",🍾 Champagne à prix coûtant pour fêter 2022 ! 🍾?,Une newsletter de Frichti concernant leurs produits à petits prix pour préparer le Nouvel An.
"Thu, 30 Dec 2021 16:59:41 +0000","Des produits exceptionnels à petit prix 🤑 🎉

La fête n’est toujours pas finie !

Les restes de chapon sont tout juste terminés, les papiers cadeaux déchirés, jetés. Il est temps d’enchaîner avec la soirée de l’année :
LE NOUVEL AN 2022 !

Alors on vous a préparé toute une sélection de produits festifs à prix mini pour clore 2021 ! Proposez vos meilleurs cocktails pour l’apéro, sortez vos plus belles bouteilles de vin pour le dîner et sabrez votre champagne au rythme du décompte. Que vous soyez en famille ou entre amis, Frichti est VOTRE partenaire de réveillon, toujours à 15 min de chez vous.

Finissez l’année en beauté en la célébrant avec Frichti !
",🍾 Champagne à prix coûtant pour fêter 2022 ! 🍾?,Une newsletter de Frichti concernant leur offre du Nouvel An. La sélection de produits à petits prix pour clore l'année 2021 et faire la fête pour le Nouvel An 2022.
"Wed, 11 May 2022 17:14:53 +0000","C’est facile, rapide et à petit prix…

Profitez de 20% de réduction sur tous vos kits recettes préférés !
Préparez un festin pour vos amis, votre famille ou votre moitié en quelques minutes, c’est le moment d’en profiter !
",🚨 Vos kits recettes préférés sont en promo !?,Une newsletter de Frichti concernant une promotion de 20% sur les kits recettes.
"Wed, 11 May 2022 15:59:57 +0000","C’est facile, rapide et à petit prix…

Profitez de 20% de réduction sur tous vos kits recettes préférés !
Préparez un festin pour vos amis, votre famille ou votre moitié en quelques minutes, c’est le moment d’en profiter !
En plus, profitez de 10€ offerts sur nos kits recettes dès 30€ d'achat avec le code* :
",🚨 Vos kits recettes préférés sont en promo !?,"Une newsletter de Frichti concernant une promotion de 20% de réduction sur l'ensemble des kits recettes, avec en plus un code promo donnant droit à 10€ de réduction dès 30€ d'achat."
"Wed,  2 Feb 2022 18:14:37 +0000","Votre chandeleur à petit prix chez Frichti

Plutôt crêpes, galettes ou les deux ?

Nous aussi on a opté pour les deux.
Chez Frichti, on propose toujours le choix et l’embarras du choix, mais surtout le bon !
Voilà pourquoi, on vous a concocté la plus incroyable des chandeleurs.
Préparez les recettes les plus folles et les plus bonnes en deux temps, trois mouvements, avec nos Magic Kits spécial chandeleur !
On vous livre tous les ingrédients pour, dont une sélection de 15 produits à prix encore plus mini !

Et sucre sur la crêpe, on vous offre une bouteille de cidre Sassy l'Inimitable de 75cl pour toute commande supérieure à 50€ !

Avec Frichti, transformez votre cuisine en crêperie !
","Une crêperie, ça vous dit ? 🥞?","Une newsletter de Frichti concernant la Chandeleur, avec des prix réduits et une bouteille de cidre gratuite pour toute commande supérieure à 50€."
"Wed,  2 Feb 2022 17:44:45 +0000","Votre chandeleur à petit prix chez Frichti

Plutôt crêpes, galettes ou les deux ?

Nous aussi on a opté pour les deux.
Chez Frichti, on propose toujours le choix et l’embarras du choix, mais surtout le bon !
Voilà pourquoi, on vous a concocté la plus incroyable des chandeleurs.
Préparez les recettes les plus folles et les plus bonnes en deux temps, trois mouvements, avec nos Magic Kits spécial chandeleur !
On vous livre tous les ingrédients pour, dont une sélection de 15 produits à prix encore plus mini !

Et sucre sur la crêpe, on vous offre une bouteille de cidre Sassy l'Inimitable de 75cl pour toute commande supérieure à 50€ !

Avec Frichti, transformez votre cuisine en crêperie !
","Une crêperie, ça vous dit ? 🥞?","Une newsletter de Frichti concernant une crêperie à petit prix. On peut choisir entre différentes sortes de crêpes et galettes, ainsi qu'entre diverses toppings. Les ingredients sont liv"
"Thu,  8 Jul 2021 16:29:20 +0000","C'est le moment de se faire plaisir 

Faites-vous livrer en 15 minutes le meilleur apéro, où vous voulez !

Chez Frichti, on a à cœur de vous partager nos meilleurs plans food ET apéro ! Alors pour fêter l’arrivée de l’été, quoi de mieux que de se prélasser au soleil, dans un parc ou aux bords des quais avec un rosé Posey et des bières bien fraîches ?

Accompagnés d'une sélection apéro ultra gourmande pour se régaler : du saucisson, des chips Brets, des dips (miam la crème d’artichauts), des olives et mêmes des croquetas !
Le tout, au même prix qu'au supermarché.

Pour l'occasion, 10€ offerts dès 20€ d'achat sur la catégorie Cave & Boissons avec le code*:
",On vous offre l’apéro !?,"Une newsletter de Frichti concernant une offre d'apéro livrée en 15 minutes, avec du vin, de la bière, du saucisson, des chips, des dips, des olives et des croquetas. Avec le code"
"Thu, 20 May 2021 11:19:46 +0000","Le supermarché du futur, plus frais, moins cher

Des petits prix pour des grands produits

Parce qu’on ne choisit que des produits de saison.
Parce qu’on achète nos produits directement auprès de nos producteurs.
Parce qu’il n’y a pas 10000 ingrédients dans nos produits.
Parce que nous proposons des marques qui respectent aussi la planète et votre santé.
Pour toutes ces raisons là, nous pouvons vous proposer des produits de folie à des prix canon, livrés en 15 minutes.

À ce prix là… ce serait dommage de ne pas en profiter.
","À ce prix là, vous allez commander souvent?","Une newsletter de Frichti concernant les avantages de commander avec eux: petits prix, produits de saison, directement auprès des producteurs, peu d'ingrédients, marques respectueuses de l"
"Thu, 20 May 2021 08:49:40 +0000","Le supermarché du futur, plus frais, moins cher

Des petits prix pour des grands produits

Parce qu’on ne choisit que des produits de saison.
Parce qu’on achète nos produits directement auprès de nos producteurs.
Parce qu’il n’y a pas 10000 ingrédients dans nos produits.
Parce que nous proposons des marques qui respectent aussi la planète et votre santé.
Pour toutes ces raisons là, nous pouvons vous proposer des produits de folie à des prix canon, livrés en 15 minutes.

À ce prix là… ce serait dommage de ne pas en profiter.
","À ce prix là, vous allez commander souvent?",Une newsletter de Frichti concernant leurs produits si bon marché car la qualité est toujours au rendez-vous.
"Thu, 15 Apr 2021 07:44:46 +0000","Plein de nouveaux produits à découvrir

Les nouveaux rayons de soleil

Tadaaa ! Plein de nouveautés sont venues garnir nos rayons : des fruits rouges de saison à croquer sans modération, des produits d'entretien pour le grand ménage de printemps et même de la charcuterie française artisanale de notre producteur angevin Oliver. Des pépites sans additifs, en circuit ultra court et toujours au meilleur prix.
",Nouuuuuuuveauuuutééés?,Une newsletter de Frichti concernant les nouveaux produits disponibles à la vente.
"Wed, 18 Jan 2023 17:39:32 +0000","Découvrez nos produits végétaux

Vous connaissez le Veganuary ? 🥗

Le mois de janvier où on peut essayer de consommer différemment. Chez Frichti, on a plein de produits alternatifs à la viande et aux laitages, encore plus originaux et savoureux. 😋

Démarrez votre journée par la délicieuse boisson Oatly, une alternative végétale à l'avoine hyper gourmande, idéale pour pimper votre café !
À la pause dej', choisissez entre les nuggets végétaux & gourmands de HappyVore et le steak végétal de Beyond Meat.

Et pour le dîner, on vous propose des spaghetti bolo' végé avec de savoureuses boulettes végétales accompagnées de nos délicates Spaghetti alla Chitarra et de notre sauce tomate déjà mijotée par nos soins pour une alternative gourmande et engagée !

On obtient une journée 100% végétale, gourmande et variée !

J'essaye le veganuary ! 

Galettes lentille corail & butternut
Hari&Co
",Veganuary : Et si l'année commençait différemment ? 🥕?,Une newsletter de Frichti concernant le veganuary avec des produits qu'ils proposent pour le mois de janvier afin de consommer différemment. Ils mettent en avant divers produits délicieux et variés.
"Tue, 19 Jan 2021 16:02:00 +0000","4X5€ offerts sur Frichti Market pendant 2 semaines

Vous allez pouvoir goûter toutes les pépites de notre
Frichti Market

On a tous un produit qui nous fait de l’œil mais qu’on a encore jamais osé goûter. Pour franchir le pas, on vous offre 4x5€ pendant 2 semaines avec le code* : YUMMYDAYS
Histoire de goûter cette pâte à cookie, ce jus détox, ces saucisses à la truffe ou ce chèvre cendré. Vous n’allez pas être déçu !
",ÉVÉNEMENT : 2 semaines de régalade?,Une newsletter de Frichti concernant une promotion de 4x5 euros sur le market pendant 2 semaines avec le code YUMMYDAYS.
"Mon, 25 Apr 2022 16:49:34 +0000","Le plat le plus rapide du monde fait son retour !

C’est (encore) déjà prêt !

En télétravail et pas le temps de cuisiner ?
Frichti à la rescousse ! On s’occupe de tout.
Au menu, lasagnes, hachis parmentier, gratin dauphinois ou fondant au chocolat et plein d'autres plats faits maison à partager !
Quelques minutes au four, et c’est déjà l’heure de passer à table !
On vous dit bon appétit 😋

La cuisine, c’est (vraiment) facile avec Frichti !
Jusqu'à vendredi, profitez de 12€ offerts sur les plats à partager Frichti Everyday dès 15€ d'achat avec le code* :
",NOUVEAU RECORD POUR FRICHTI 🥇?,Une newsletter de Frichti concernant leur nouveau plat record du monde.
